brand,model,trim,manufacture_year,condition,transmission,body_type,fuel_type,engine_capacity,mileage,price
Toyota,Vitz,2016,2016,Used,Automatic,Hatchback,Petrol,"1,000 cc","125,000 km",6975000
Toyota,Passo,XL Safety,2023,Used,Automatic,Hatchback,Petrol,"1,000 cc","24,500 km",8275000
Toyota,Aqua,X URBAN 1ST OWNER,2015,Used,Automatic,Hatchback,Hybrid,"1,500 cc","105,000 km",8790000
Toyota,Aqua,S Grade,2014,Used,Automatic,Hatchback,Hybrid,"1,490 cc","78,636 km",7890000
Toyota,Vitz,2015,2015,Used,Automatic,Hatchback,Petrol,990 cc,"106,316 km",7700000
Toyota,Vitz,1st Edition,2019,Used,Automatic,Hatchback,Petrol,"1,000 cc","68,000 km",8500000
Toyota,Yaris,X Limited,2023,Used,Automatic,Hatchback,Petrol,990 cc,"16,500 km",9150000
Toyota,Prius,,2010,Used,Automatic,Hatchback,Hybrid,"1,800 cc","175,000 km",9125000
Toyota,Vitz,Safety 1,2018,Used,Automatic,Hatchback,Petrol,"1,000 cc","67,000 km",7900000
Toyota,Aqua,S Grade,2015,Used,Automatic,Hatchback,Hybrid,"1,500 cc","140,000 km",7940000
Toyota,Vitz,,2016,Used,Automatic,Hatchback,Petrol,"1,000 cc","66,000 km",7200000
Toyota,Vitz,Safety Edition 2,2018,Used,Automatic,Hatchback,Petrol,"1,000 cc","93,000 km",8000000
Toyota,Aqua,2012,2012,Used,Automatic,Hatchback,Petrol,"1,500 cc","56,000 km",7800000
Toyota,Vitz,Full Option,2007,Used,Automatic,Hatchback,Petrol,"1,000 cc","90,000 km",5475000
Toyota,Prius,Prius CX  2011,2011,Used,Automatic,Hatchback,Hybrid,"1,789 cc","107,499 km",8500000
Toyota,Vitz,Edition 2,2018,Used,Automatic,Hatchback,Petrol,990 cc,"91,134 km",8490000
Toyota,Vitz,Edition 2 safty push,2017,Used,Automatic,Hatchback,Petrol,"1,000 cc","69,000 km",8200000
Toyota,Vitz,SCP90 1.3l,2010,Used,Automatic,Hatchback,Petrol,"1,300 cc","251,000 km",5600000
