brand,model,trim,manufacture_year,condition,transmission,body_type,fuel_type,engine_capacity,mileage,price
Suzuki,Wagon R FZ,FZ,2017,Used,Automatic,Hatchback,Hybrid,650 cc,"74,800 km",6800000
Suzuki,Wagon R FX,,2017,Used,Automatic,Hatchback,Petrol,660 cc,"131,000 km",5550000
Suzuki,Celerio,,2015,Used,Automatic,Hatchback,Petrol,"1,000 cc","54,149 km",5200000
Suzuki,Swift,Suzuki Swift Japan,2009,Used,Automatic,Hatchback,Petrol,"1,300 cc","158,000 km",5600000
Suzuki,A-Star,,2011,Used,Automatic,Hatchback,Petrol,"1,000 cc","90,000 km",3850000
Suzuki,Wagon R,STINGRAY X LIMITED,2018,Used,Automatic,Hatchback,Hybrid,660 cc,"54,000 km",7550000
Suzuki,Swift,,2007,Used,Automatic,Hatchback,Petrol,"1,240 cc","141,500 km",4750000
Suzuki,Alto,,2016,Used,Automatic,Hatchback,Petrol,650 cc,"159,945 km",5275000
Suzuki,Wagon R FZ,Safety,2018,Used,Automatic,Hatchback,Hybrid,650 cc,"68,206 km",6790000
Suzuki,Wagon R Stingray,Suzuki,2016,Used,Automatic,Hatchback,Petrol,650 cc,"105,000 km",5800000
Suzuki,Wagon R FX,,2017,Used,Automatic,Hatchback,Hybrid,660 cc,"122,300 km",5900000
Suzuki,Wagon R Stingray,,2017,Used,Automatic,Hatchback,Petrol,650 cc,"123,000 km",6700000
Suzuki,Wagon R FX,Fx,2017,Used,Automatic,Hatchback,Hybrid,650 cc,"105,721 km",5650000
Suzuki,Celerio,Vxi Auto,2016,Used,Automatic,Hatchback,Petrol,"1,000 cc","102,000 km",5075000
Suzuki,Alto,,2016,Used,Automatic,Hatchback,Petrol,650 cc,"121,914 km",5475000
Suzuki,Wagon R FZ,,2018,Used,Automatic,Hatchback,Petrol,650 cc,"113,000 km",6650000
Suzuki,Wagon R Stingray,Wagon R Stingray,2014,Used,Automatic,Hatchback,Hybrid,650 cc,"88,000 km",5850000
Suzuki,Wagon R FX,,2016,Used,Automatic,Hatchback,Hybrid,650 cc,"35,565 km",6000000
Suzuki,Baleno,Suzuki,2019,Used,Automatic,Hatchback,Petrol,"1,000 cc","67,499 km",8050000
Suzuki,Celerio,,2016,Used,Automatic,Hatchback,Petrol,"1,000 cc","85,329 km",5550000
Suzuki,Spacia,,2017,Used,Automatic,,Petrol,650 cc,"84,000 km",7100000
Suzuki,Celerio,2017,2017,Used,Automatic,Hatchback,Petrol,"1,000 cc","110,000 km",5475000
Suzuki,Celerio,VXI Auto,2015,Used,Automatic,Hatchback,Petrol,"1,000 cc","55,000 km",5425000
Suzuki,Celerio,,2015,Used,Automatic,Hatchback,Petrol,"1,000 cc","142,000 km",4850000
Suzuki,Celerio,,2015,Used,Automatic,Hatchback,Petrol,"1,000 cc","79,000 km",5450000
Suzuki,A-Star,,2012,Used,Automatic,Hatchback,Petrol,998 cc,"92,225 km",4350000
Suzuki,Wagon R FZ,Safety,2017,Used,Automatic,Hatchback,Petrol,650 cc,"93,611 km",6495000
Suzuki,Celerio,,2015,Used,Automatic,Hatchback,Petrol,"1,000 cc","65,000 km",5500000
Suzuki,Wagon R FZ,,2016,Used,Automatic,Hatchback,Hybrid,650 cc,"85,000 km",5350000
Suzuki,Celerio,ZXI Auto,2016,Used,Automatic,Hatchback,Petrol,"1,000 cc","115,000 km",5290000
Suzuki,Wagon R Stingray,Turbo,2017,Used,Automatic,Hatchback,Petrol,660 cc,"131,500 km",7150000
Suzuki,Swift,Style,2007,Used,Automatic,Hatchback,Petrol,"1,300 cc","125,000 km",5475000
Suzuki,Wagon R FZ,Safety,2017,Used,Automatic,Hatchback,Hybrid,650 cc,"80,364 km",6790000
Suzuki,Wagon R Stingray,,2018,Used,Automatic,Hatchback,Hybrid,660 cc,"82,400 km",6650000
Suzuki,Celerio,Vxi Auto,2016,Used,Automatic,Hatchback,Petrol,"1,000 cc","71,000 km",5175000
Suzuki,A-Star,,2013,Used,Automatic,Hatchback,Petrol,998 cc,"116,811 km",4790000
Suzuki,Wagon R FZ,,2016,Used,Automatic,Hatchback,Petrol,660 cc,"114,000 km",5575000
Suzuki,Wagon R FX,FX NON SAFETY,2018,Used,Automatic,Hatchback,Hybrid,650 cc,"134,521 km",5850000
Suzuki,Wagon R FX,2017,2017,Used,Automatic,Hatchback,Hybrid,650 cc,"145,000 km",5650000
Suzuki,Alto,,2018,Used,Automatic,Hatchback,Petrol,660 cc,"67,790 km",6000000
Suzuki,Alto,,2008,Used,Automatic,Hatchback,Petrol,650 cc,"139,500 km",3940000
Daihatsu,Mira,L safety,2023,Reconditioned,Automatic,Hatchback,Petrol,660 cc,"4,000 km",6390000
Suzuki,Wagon R Stingray,2017,2017,Used,Automatic,Hatchback,Petrol,650 cc,"124,000 km",6724000
Suzuki,Wagon R Stingray,,2018,Used,Automatic,Hatchback,Hybrid,650 cc,"73,557 km",7195000
Suzuki,Celerio,,2015,Used,Automatic,Hatchback,Petrol,"1,000 cc","86,900 km",5550000
Suzuki,XBee,Turbo Hybrid 4WD,2018,Used,Automatic,Hatchback,Petrol,"1,000 cc","121,000 km",8200000
Suzuki,Swift,RS Hybrid Japan,2017,Used,Automatic,Hatchback,Hybrid,"1,300 cc","115,000 km",7900000
Suzuki,Celerio,Suzuki,2014,Used,Automatic,Hatchback,Petrol,"1,000 cc","131,000 km",4990000
Suzuki,Wagon R FX,Full Option,2016,Used,Automatic,Hatchback,Petrol,660 cc,"131,000 km",5550000
