mileage,engine_capacity,manufacture_year,model,fuel_type_Petrol,price
200000,1000,2007,Vitz,True,5375000
150000,1000,2015,Vitz,True,6900000
76000,650,2018,Pixis,True,6485000
170000,990,2008,Vitz,True,5800000
142100,1500,2012,Aqua,False,7050000
93000,1000,2018,Wigo,True,6600000
140000,1490,2013,Aqua,False,7600000
110000,1496,2014,Aqua,False,7225000
82000,1000,2015,Vitz,True,7000000
45000,1000,2017,Vitz,True,7690000
93000,1496,2015,Aqua,False,7850000
173000,1490,2014,Aqua,False,7500000
54000,1000,2018,Vitz,True,8400000
80000,990,2016,Vitz,True,7200000
60000,650,2016,Pixis,True,5475000
37770,990,2018,Vitz,True,8650000
85000,1000,2015,Vitz,True,7000000
76000,990,2018,Vitz,True,7990000
118000,1000,2007,Passo,True,4975000
95568,990,2016,Passo,True,6890000
184500,1798,2010,Prius,False,9550000
166000,1000,2015,Vitz,True,6900000
170000,1500,2013,Aqua,False,7250000
162000,1000,2008,Vitz,True,5350000
112443,1500,2014,Aqua,False,7250000
38000,1000,2019,Vitz,True,7550000
83000,1496,2015,Aqua,False,8750000
85000,1000,2018,Vitz,True,7950000
100005,990,2019,Vitz,True,8650000
97601,1000,2013,Passo,True,5800000
81500,1000,2017,Wigo,True,6450000
82500,1000,2019,Vitz,True,9200000
176000,1500,2012,Aqua,False,7150000
69000,1000,2018,Vitz,True,8650000
78982,990,2018,Vitz,True,8500000
102000,990,2016,Vitz,True,7200000
86000,1500,2015,Aqua,False,8900000
74800,990,2017,Vitz,True,8300000
72000,990,2018,Vitz,True,8350000
133622,990,2016,Vitz,True,7375000
52640,1000,2023,Roomy,True,9850000
139000,1000,2016,Vitz,True,6990000
97000,1000,2016,Vitz,True,7500000
157689,1490,2015,Aqua,False,8900000
49385,1000,2016,Vitz,True,7100000
218700,1500,2012,Aqua,False,7200000
62652,990,2008,Vitz,True,5850000
5000,1000,2024,Yaris,True,9000000
36000,900,2018,Vitz,True,8900000
156000,1496,2014,Aqua,True,7300000
117000,1000,2019,Vitz,True,8150000
41195,650,2018,Pixis,True,6890000
200000,1496,2013,Aqua,False,7200000
46000,1000,2018,Vitz,True,8150000
145000,990,2008,Vitz,True,5300000
111000,1500,2012,Aqua,False,7000000
88000,1500,2013,Aqua,False,7100000
61000,1000,2016,Vitz,True,6700000
157000,1000,2008,Vitz,True,5100000
96457,990,2017,Vitz,True,7690000
53000,1000,2018,Vitz,True,7800000
88600,1000,2019,Vitz,True,8400000
161000,1496,2013,Aqua,False,7650000
89000,1490,2012,Aqua,False,7590001
35000,1000,2019,Vitz,True,8650000
79000,1000,2018,Vitz,True,7825000
142000,1500,2012,Aqua,False,6475000
55470,990,2017,Vitz,True,7990000
56000,990,2017,Vitz,True,8200000
243,1000,2025,Yaris,True,9950000
41500,1000,2018,Vitz,True,7950000
129000,1000,2017,Wigo,True,5600000
170000,1500,2013,Aqua,False,7150000
74000,1000,2018,Vitz,True,7800000
62530,1000,2015,Vitz,True,7150000
90000,1000,2017,Tank,True,7500000
7800,996,2023,Passo,True,8100000
57600,990,2017,Vitz,True,7900000
153339,1490,2012,Aqua,False,6350000
149000,1500,2014,Aqua,False,7350000
124000,1300,2011,Yaris,True,6475000
148000,1200,2012,Aqua,False,7700000
61000,990,2018,Vitz,True,7900000
98000,1000,2017,Vitz,True,7500000
170000,1000,2007,Vitz,True,5090000
156200,1490,2014,Aqua,True,7800000
188000,1300,2010,Vitz,True,6100000
123000,1798,2013,Prius,False,10000000
93000,1490,2014,Aqua,True,7800000
93000,1500,2014,Aqua,True,7600000
80000,1000,2017,Vitz,True,8000000
120000,1000,2008,Passo,True,4600000
166000,1500,2012,Aqua,True,6490000
108000,1000,2016,Vitz,True,6950000
100478,1490,2014,Aqua,False,7990000
16990,990,2023,Yaris,True,9190000
106000,1500,2014,Aqua,False,7350000
37318,1000,2018,Vitz,True,8250000
150000,1000,2007,Vitz,True,4975000
66000,1000,2017,Wigo,True,6500000
137000,1490,2014,Aqua,False,7850000
61000,1000,2023,Yaris,True,8850000
125000,1000,2016,Vitz,True,6975000
24500,1000,2023,Passo,True,8275000
105000,1500,2015,Aqua,False,8790000
78636,1490,2014,Aqua,False,7890000
106316,990,2015,Vitz,True,7700000
68000,1000,2019,Vitz,True,8500000
16500,990,2023,Yaris,True,9150000
175000,1800,2010,Prius,False,9125000
67000,1000,2018,Vitz,True,7900000
140000,1500,2015,Aqua,False,7940000
66000,1000,2016,Vitz,True,7200000
93000,1000,2018,Vitz,True,8000000
56000,1500,2012,Aqua,True,7800000
90000,1000,2007,Vitz,True,5475000
107499,1789,2011,Prius,False,8500000
91134,990,2018,Vitz,True,8490000
69000,1000,2017,Vitz,True,8200000
251000,1300,2010,Vitz,True,5600000
131000,1000,2007,Passo,True,4650000
92329,990,2019,Vitz,True,7800000
185,1500,2013,Aqua,False,7000000
105000,1500,2015,Aqua,True,8350000
238000,1000,2016,Vitz,True,7250000
124000,1500,2014,Aqua,False,9100000
99000,1300,2007,Vitz,True,5875000
143310,1500,2009,Prius,True,5800000
128000,1500,2015,Aqua,False,8875000
17805,1000,2023,Roomy,True,8950000
142000,1500,2012,Aqua,False,6475000
94000,900,2017,Roomy,True,7750000
155800,1000,2010,Vitz,True,5750000
13500,996,2023,Yaris,True,9225000
85000,1000,2009,Passo,True,4850000
143493,990,2010,Vitz,True,5850000
166000,1490,2013,Aqua,False,7400000
86000,1500,2015,Aqua,False,8650000
147000,1000,2007,Vitz,True,4800000
165000,1300,2007,Ractis,True,7250000
152000,1000,2007,Vitz,True,5300000
121000,1000,2007,Vitz,True,5300000
103000,1500,2014,Aqua,False,7225000
187000,996,2007,Passo,True,4700000
117000,1000,2015,Vitz,True,6950000
75000,1000,2017,Wigo,True,6250000
152570,990,2018,Vitz,True,8500000
120000,1000,2015,Vitz,True,6850000
153500,1496,2014,Aqua,False,7400000
133334,990,2008,Vitz,True,5850000
152000,1500,2015,Aqua,False,7350000
91000,1500,2014,Aqua,True,8400000
47000,1000,2018,Vitz,True,7850000
111000,650,2017,Pixis,True,6250000
125000,1000,2008,Vitz,True,5950000
85000,1000,2017,Vitz,True,7650000
145000,1000,2009,Vitz,True,5175000
129000,990,2015,Passo,True,6290000
191955,1490,2012,Aqua,False,6975000
128000,1500,2015,Aqua,False,8900000
131000,1500,2015,Aqua,False,8500000
65000,1000,2018,Vitz,True,7850000
120000,1300,2013,Fit,False,6975000
137000,1490,2012,Aqua,False,6950000
150000,1500,2015,Aqua,False,8550000
33100,1000,2018,Vitz,True,8500000
170000,1500,2013,Aqua,True,7500000
194000,1500,2014,Aqua,False,7500000
114000,1500,2015,Aqua,False,7950000
128000,1000,2010,Vitz,True,5500000
138000,1500,2013,Aqua,False,7400000
78000,1000,2015,Aqua,False,8700000
30000,990,2018,Vitz,True,8400000
165000,1500,2015,Aqua,False,8500000
162000,1000,2010,Vitz,True,5990000
78067,1000,2017,Vitz,True,8050000
190000,1490,2013,Aqua,False,7000000
273515,1490,2010,Allion,True,9850000
141000,990,2015,Vitz,True,7150000
82014,650,2015,Pixis,True,5390000
96000,1798,2011,Prius,False,9500000
125000,1000,2007,Vitz,True,5375000
8500,650,2024,Wagon R,True,8700000
116000,1000,2008,Vitz,True,5450000
101000,1000,2018,Vitz,True,8000000
210000,1500,2012,Aqua,False,7000000
24805,1000,2023,Roomy,True,8850000
49000,1000,2018,Vitz,True,7850000
100000,1500,2007,Ist,True,6850000
97500,1000,2017,Passo,True,6800000
80296,1000,2015,Vitz,True,7800000
93000,1000,2018,Vitz,True,7795000
19980,990,2018,Vitz,True,8000000
76000,1500,2013,Aqua,False,7250000
51000,1000,2017,Vitz,True,7990000
150000,1500,2016,Aqua,False,9200000
59000,1000,2019,Vitz,True,8650000
52000,990,2017,Passo,True,7500000
45789,990,2017,Vitz,True,7995000
198512,1490,2012,Aqua,False,6800000
204,1500,2012,Aqua,False,7100000
160000,1000,2017,Vitz,True,7400000
72000,1000,2007,Vitz,True,5500000
105000,1000,2017,Vitz,True,7495000
32000,1000,2018,Vitz,True,8350000
37394,1000,2019,Vitz,True,8275000
130000,1000,2017,Vitz,True,7500000
111000,1500,2012,Aqua,False,7000000
145000,1000,2005,Vitz,True,4950000
3500,660,2025,Mira,True,6600000
89000,650,2017,Mira,True,5275000
79000,660,2016,Mira,True,5190000
14000,650,2025,Taft,True,8650000
125000,650,2017,Move,True,6275000
1100,658,2025,Tanto,True,9800000
47000,990,2018,Vitz,True,8500000
82000,660,2018,Mira,True,5800000
9805,658,2024,Taft,True,8150000
93000,650,2016,Mira,True,5400000
3600,660,2024,Wagon R,True,7030000
8000,650,2024,Mira,True,6450000
1004,658,2025,Taft,True,7750000
177000,660,2016,Cast Activa,True,5500000
61500,650,2018,Move,True,6895000
118000,660,2017,Cast Activa,True,5790000
5913,650,2025,Mira,True,6590000
178000,650,2008,Mira,True,4275000
10000,650,2024,Mira,True,6790000
5400,660,2017,Mira,True,5550000
145000,1500,2014,Fit,True,7950000
14000,660,2023,Taft,True,8300000
121000,650,2017,Mira,True,5175000
78000,658,2016,Move,True,5790000
93600,650,2015,Mira,True,5350000
74000,650,2018,Move,True,6695000
125750,650,2016,Mira,True,4950000
11960,660,2023,Move,True,7300000
11000,660,2022,Cast Activa,True,7550000
79000,650,2017,Move,True,6695000
13000,660,2024,Mira,True,6590000
89261,650,2015,Mira,True,5590000
18000,660,2024,Taft,True,7790000
110208,650,2015,Mira,True,5590000
155000,1500,2014,Fit,False,8500000
120000,1500,2016,Fit,False,8635000
140000,1330,2013,Fit,True,6900000
61000,650,2017,N-Wgn,True,6700000
128000,1300,2012,Fit,False,6750000
190000,1500,2012,Fit,False,6450000
128000,1300,2011,Fit,True,6200000
195000,1300,2009,Insight,False,6800000
108200,1500,2014,Fit,False,7860000
124000,1500,2013,Fit,False,6450000
200000,1000,2007,Vitz,True,5375000
145000,1500,2015,Fit,False,7350000
142000,1300,2013,Fit,False,6890000
139000,1500,2014,Fit,False,7400000
147500,1330,2012,Fit Shuttle,False,8375000
118269,1330,2012,Fit,False,5989998
81239,650,2016,N-Wgn,True,6790000
216000,1300,2013,Fit,False,6750000
90000,1500,2014,Fit,False,7650000
162500,1500,2013,Fit,True,7650000
99926,1490,2014,Fit,False,7275000
163757,1490,2014,Fit,True,8100000
113000,1500,2015,Fit,True,7800000
155000,1330,2013,Fit,False,6675000
120000,1330,2012,Fit,True,6380000
65000,1300,2013,Fit,False,6850000
143913,1490,2015,Fit,False,8150000
134200,1300,2012,Fit,False,6150000
85000,1300,2013,Fit,False,6690000
192600,1300,2012,Fit,False,6325000
3596,660,2023,N-Wgn,True,8250000
160000,1300,2014,Fit,False,7100000
123000,1500,2014,Fit,False,7900000
120000,1300,2010,Fit,False,6500000
148000,1500,2014,Fit,False,7500000
148556,1500,2014,Fit,False,8500000
139000,1500,2014,Fit,False,8300000
168000,1330,2011,Fit,False,6350000
64000,1300,2013,Fit,False,6750000
